,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
53,22021,1610612742,DAL,Dallas Mavericks,0022100455,2021-12-19,DAL @ MIN,L,241,105,36,82,0.439,12,41,0.293,21,22,0.955,7,34,41,27,5,2,10,25,-6.0
54,22021,1610612742,DAL,Dallas Mavericks,0022100420,2021-12-15,DAL vs. LAL,L,265,104,39,98,0.398,12,44,0.273,14,17,0.824,8,43,51,22,4,3,11,21,-3.0
55,22021,1610612742,DAL,Dallas Mavericks,0022100410,2021-12-13,DAL vs. CHA,W,239,120,43,83,0.518,19,41,0.463,15,17,0.882,14,36,50,28,4,8,9,19,24.0
56,22021,1610612742,DAL,Dallas Mavericks,0022100400,2021-12-12,DAL @ OKC,W,239,103,38,90,0.422,9,33,0.273,18,23,0.783,10,44,54,25,5,5,6,18,19.0
57,22021,1610612742,DAL,Dallas Mavericks,0022100383,2021-12-10,DAL @ IND,L,241,93,39,84,0.464,4,29,0.138,11,12,0.917,12,25,37,18,7,2,12,18,-13.0
58,22021,1610612742,DAL,Dallas Mavericks,0022100373,2021-12-08,DAL @ MEM,W,239,104,37,77,0.481,12,33,0.364,18,23,0.783,10,37,47,24,5,6,18,21,8.0
59,22021,1610612742,DAL,Dallas Mavericks,0022100363,2021-12-07,DAL vs. BKN,L,241,99,36,90,0.4,9,46,0.196,18,22,0.818,10,29,39,21,6,2,4,15,-3.0
60,22021,1610612742,DAL,Dallas Mavericks,0022100345,2021-12-04,DAL vs. MEM,L,241,90,31,92,0.337,15,43,0.349,13,19,0.684,14,28,42,19,10,1,13,21,-7.0
61,22021,1610612742,DAL,Dallas Mavericks,0022100338,2021-12-03,DAL vs. NOP,L,240,91,32,79,0.405,10,34,0.294,17,26,0.654,5,37,42,17,4,3,15,23,-16.0
62,22021,1610612742,DAL,Dallas Mavericks,0022100325,2021-12-01,DAL @ NOP,W,238,139,57,83,0.687,18,34,0.529,7,9,0.778,9,25,34,32,7,2,18,19,32.0
63,22021,1610612742,DAL,Dallas Mavericks,0022100310,2021-11-29,DAL vs. CLE,L,240,96,39,89,0.438,12,39,0.308,6,15,0.4,7,26,33,20,8,7,10,15,-18.0
64,22021,1610612742,DAL,Dallas Mavericks,0022100298,2021-11-27,DAL vs. WAS,L,240,114,42,89,0.472,14,38,0.368,16,22,0.727,9,26,35,23,7,4,7,21,-6.0
65,22021,1610612742,DAL,Dallas Mavericks,0022100266,2021-11-23,DAL @ LAC,W,264,112,39,89,0.438,12,39,0.308,22,27,0.815,12,30,42,22,11,5,14,23,8.0
